time_stamp,pm2.5_alt_b
2023-01-01T00:00:00Z,9.4
2023-01-02T00:00:00Z,11.2
2023-01-03T00:00:00Z,10.5
2023-01-04T00:00:00Z,2.2
2023-01-05T00:00:00Z,3.3
2023-01-06T00:00:00Z,11.4
2023-01-07T00:00:00Z,19.9
2023-01-08T00:00:00Z,25
2023-01-09T00:00:00Z,20.7
2023-01-10T00:00:00Z,24.7
2023-01-11T00:00:00Z,32.3
2023-01-12T00:00:00Z,26.4
2023-01-13T00:00:00Z,4.9
2023-01-14T00:00:00Z,8.4
2023-01-15T00:00:00Z,8.1
2023-01-16T00:00:00Z,6
2023-01-17T00:00:00Z,7.2
2023-01-18T00:00:00Z,8.7
2023-01-19T00:00:00Z,3.2
2023-01-20T00:00:00Z,3.9
2023-01-21T00:00:00Z,4.6
2023-01-22T00:00:00Z,8.8
2023-01-23T00:00:00Z,8.1
2023-01-24T00:00:00Z,9.3
2023-01-25T00:00:00Z,21.7
2023-01-26T00:00:00Z,4
2023-01-27T00:00:00Z,5.5
2023-01-28T00:00:00Z,1.9
2023-01-29T00:00:00Z,2.4
2023-01-30T00:00:00Z,2.8
