time_stamp,pm2.5_alt_b
2023-01-01T00:00:00Z,15.1
2023-01-02T00:00:00Z,19.4
2023-01-03T00:00:00Z,17.4
2023-01-04T00:00:00Z,3
2023-01-05T00:00:00Z,4.1
2023-01-06T00:00:00Z,13.2
2023-01-07T00:00:00Z,31.6
2023-01-08T00:00:00Z,33.8
2023-01-09T00:00:00Z,34.1
2023-01-10T00:00:00Z,48.1
2023-01-11T00:00:00Z,52.7
2023-01-12T00:00:00Z,21.7
2023-01-13T00:00:00Z,7.9
2023-01-14T00:00:00Z,13.3
2023-01-15T00:00:00Z,10.7
2023-01-16T00:00:00Z,14.1
2023-01-17T00:00:00Z,8.7
2023-01-18T00:00:00Z,6.9
2023-01-19T00:00:00Z,2.9
2023-01-20T00:00:00Z,3.7
2023-01-21T00:00:00Z,7.8
2023-01-22T00:00:00Z,14.6
2023-01-23T00:00:00Z,15.8
2023-01-24T00:00:00Z,12.3
2023-01-25T00:00:00Z,20.9
2023-01-26T00:00:00Z,2.3
2023-01-27T00:00:00Z,8
2023-01-28T00:00:00Z,2.1
2023-01-29T00:00:00Z,2.4
2023-01-30T00:00:00Z,3.4
