time_stamp,pm2.5_alt_b
2023-01-01T00:00:00Z,12.6
2023-01-02T00:00:00Z,15.3
2023-01-03T00:00:00Z,12.4
2023-01-04T00:00:00Z,2.2
2023-01-05T00:00:00Z,3
2023-01-06T00:00:00Z,10.3
2023-01-07T00:00:00Z,24.8
2023-01-08T00:00:00Z,26.8
2023-01-09T00:00:00Z,31.7
2023-01-10T00:00:00Z,33.7
2023-01-11T00:00:00Z,43.3
2023-01-12T00:00:00Z,16.6
2023-01-13T00:00:00Z,5.1
2023-01-14T00:00:00Z,11
2023-01-15T00:00:00Z,9.1
2023-01-16T00:00:00Z,11.7
2023-01-17T00:00:00Z,6
2023-01-18T00:00:00Z,4.6
2023-01-19T00:00:00Z,2
2023-01-20T00:00:00Z,2.6
2023-01-21T00:00:00Z,6.2
2023-01-22T00:00:00Z,10.1
2023-01-23T00:00:00Z,12.6
2023-01-24T00:00:00Z,9.2
2023-01-25T00:00:00Z,15.6
2023-01-26T00:00:00Z,1.8
2023-01-27T00:00:00Z,6.8
2023-01-28T00:00:00Z,1.6
2023-01-29T00:00:00Z,2.1
2023-01-30T00:00:00Z,3.2
