time_stamp,pm2.5_atm
2022-07-04T00:00:00Z,9.2325
2022-07-04T06:00:00Z,7.7299999999999995
2022-07-04T12:00:00Z,8.4975
2022-07-04T18:00:00Z,1.877
2022-07-05T00:00:00Z,18.0385
2022-07-05T06:00:00Z,21.0535
2022-07-05T12:00:00Z,23.119999999999997
2022-07-05T18:00:00Z,6.307499999999999
2022-07-06T00:00:00Z,4.693
2022-07-06T06:00:00Z,1.9095
2022-07-06T12:00:00Z,4.329
2022-07-06T18:00:00Z,9.380500000000001
2022-07-07T00:00:00Z,11.453
2022-07-07T06:00:00Z,17.2525
2022-07-07T12:00:00Z,15.273499999999999
2022-07-07T18:00:00Z,8.3445
2022-07-08T00:00:00Z,10.8125
2022-07-08T06:00:00Z,15.028500000000001
2022-07-08T12:00:00Z,12.6985
2022-07-08T18:00:00Z,7.288
2022-07-09T00:00:00Z,9.213999999999999
2022-07-09T06:00:00Z,14.133
2022-07-09T12:00:00Z,5.163
2022-07-09T18:00:00Z,5.297
2022-07-10T00:00:00Z,7.098
2022-07-10T06:00:00Z,4.6865
2022-07-10T12:00:00Z,5.7075
2022-07-10T18:00:00Z,6.4285
