Sensor_ID,Y,X,time_stamp,pm2.5_atm
142734,44.90432,-93.280624,2023-01-02T00:00:00Z,37.8595
145454,44.94475,-93.23892,2023-01-02T00:00:00Z,36.03
142732,44.916058,-93.274155,2023-01-02T00:00:00Z,35.7635
145262,44.97941,-93.302444,2023-01-02T00:00:00Z,17.3175
142736,44.972713,-93.28224,2023-01-02T00:00:00Z,34.748999999999995
145250,44.96758,-93.3164,2023-01-02T00:00:00Z,38.132000000000005
143636,45.009544,-93.29431,2023-01-02T00:00:00Z,33.92
142748,44.965744,-93.285416,2023-01-02T00:00:00Z,28.229
11134,44.92776,-93.32235,2023-01-02T00:00:00Z,24.445500000000003
142774,44.953075,-93.31713,2023-01-02T00:00:00Z,39.463
143214,44.90534,-93.232285,2023-01-02T00:00:00Z,34.5215
61239,45.0043,-93.2546,2023-01-02T00:00:00Z,18.209
143216,44.97844,-93.263535,2023-01-02T00:00:00Z,29.657
145204,44.967304,-93.21772,2023-01-02T00:00:00Z,28.672
143226,44.91171,-93.227066,2023-01-02T00:00:00Z,38.511
143916,44.960915,-93.26111,2023-01-02T00:00:00Z,36.188500000000005
143224,45.008877,-93.249146,2023-01-02T00:00:00Z,32.7685
21179,44.965965,-93.284615,2023-01-02T00:00:00Z,35.942499999999995
54907,45.003338,-93.25568,2023-01-02T00:00:00Z,30.286
168327,44.95194,-93.263916,2023-01-02T00:00:00Z,35.102000000000004
143242,44.96826,-93.21156,2023-01-02T00:00:00Z,34.375
143666,44.998505,-93.24864,2023-01-02T00:00:00Z,33.932500000000005
143240,44.987465,-93.25782,2023-01-02T00:00:00Z,37.5855
143656,44.932285,-93.28308,2023-01-02T00:00:00Z,38.286
143246,44.901524,-93.276825,2023-01-02T00:00:00Z,40.0595
85113,44.93642,-93.17899,2023-01-02T00:00:00Z,31.979
142726,45.01507,-93.28903,2023-01-02T00:00:00Z,37.1385
108364,44.878834,-93.35441,2023-01-02T00:00:00Z,37.823
128195,44.93578,-93.18634,2023-01-02T00:00:00Z,17.8815
142720,44.955555,-93.254974,2023-01-02T00:00:00Z,33.3665
157877,44.901764,-93.2089,2023-01-02T00:00:00Z,36.586
5582,44.891655,-93.34291,2023-01-02T00:00:00Z,30.592
113486,44.928123,-93.25389,2023-01-02T00:00:00Z,17.884
145498,44.935925,-93.2779,2023-01-02T00:00:00Z,39.0535
145470,44.90896,-93.23099,2023-01-02T00:00:00Z,36.9485
101525,44.893944,-93.30508,2023-01-02T00:00:00Z,38.049
110979,44.997475,-93.25726,2023-01-02T00:00:00Z,30.531
142718,44.99631,-93.29565,2023-01-02T00:00:00Z,45.2575
157877,44.901764,-93.2089,2023-01-02T06:00:00Z,36.1115
143916,44.960915,-93.26111,2023-01-02T06:00:00Z,39.903000000000006
5582,44.891655,-93.34291,2023-01-02T06:00:00Z,18.8725
143226,44.91171,-93.227066,2023-01-02T06:00:00Z,37.834
143216,44.97844,-93.263535,2023-01-02T06:00:00Z,37.355
145204,44.967304,-93.21772,2023-01-02T06:00:00Z,40.16
168327,44.95194,-93.263916,2023-01-02T06:00:00Z,38.0855
113486,44.928123,-93.25389,2023-01-02T06:00:00Z,16.566499999999998
54907,45.003338,-93.25568,2023-01-02T06:00:00Z,37.325
143224,45.008877,-93.249146,2023-01-02T06:00:00Z,41.245000000000005
128195,44.93578,-93.18634,2023-01-02T06:00:00Z,22.371
110979,44.997475,-93.25726,2023-01-02T06:00:00Z,37.3125
143666,44.998505,-93.24864,2023-01-02T06:00:00Z,44.0305
143242,44.96826,-93.21156,2023-01-02T06:00:00Z,43.0005
143240,44.987465,-93.25782,2023-01-02T06:00:00Z,34.7285
143656,44.932285,-93.28308,2023-01-02T06:00:00Z,35.2055
108364,44.878834,-93.35441,2023-01-02T06:00:00Z,27.631500000000003
143246,44.901524,-93.276825,2023-01-02T06:00:00Z,34.956500000000005
21179,44.965965,-93.284615,2023-01-02T06:00:00Z,28.906
61239,45.0043,-93.2546,2023-01-02T06:00:00Z,28.7755
101525,44.893944,-93.30508,2023-01-02T06:00:00Z,30.2495
142726,45.01507,-93.28903,2023-01-02T06:00:00Z,41.391000000000005
85113,44.93642,-93.17899,2023-01-02T06:00:00Z,38.4765
142720,44.955555,-93.254974,2023-01-02T06:00:00Z,37.516000000000005
145454,44.94475,-93.23892,2023-01-02T06:00:00Z,42.7935
142734,44.90432,-93.280624,2023-01-02T06:00:00Z,31.6815
145470,44.90896,-93.23099,2023-01-02T06:00:00Z,35.872
142732,44.916058,-93.274155,2023-01-02T06:00:00Z,30.581
145262,44.97941,-93.302444,2023-01-02T06:00:00Z,14.8125
143214,44.90534,-93.232285,2023-01-02T06:00:00Z,33.173
145250,44.96758,-93.3164,2023-01-02T06:00:00Z,34.92
142718,44.99631,-93.29565,2023-01-02T06:00:00Z,42.4205
142736,44.972713,-93.28224,2023-01-02T06:00:00Z,38.2965
142748,44.965744,-93.285416,2023-01-02T06:00:00Z,30.4255
11134,44.92776,-93.32235,2023-01-02T06:00:00Z,14.523
142774,44.953075,-93.31713,2023-01-02T06:00:00Z,35.429500000000004
145498,44.935925,-93.2779,2023-01-02T06:00:00Z,36.1705
143636,45.009544,-93.29431,2023-01-02T06:00:00Z,38.181
101525,44.893944,-93.30508,2023-01-02T12:00:00Z,32.7645
142726,45.01507,-93.28903,2023-01-02T12:00:00Z,36.961
143246,44.901524,-93.276825,2023-01-02T12:00:00Z,35.224000000000004
85113,44.93642,-93.17899,2023-01-02T12:00:00Z,34.281000000000006
108364,44.878834,-93.35441,2023-01-02T12:00:00Z,30.768
143214,44.90534,-93.232285,2023-01-02T12:00:00Z,33.5505
61239,45.0043,-93.2546,2023-01-02T12:00:00Z,25.707
143240,44.987465,-93.25782,2023-01-02T12:00:00Z,36.349
142720,44.955555,-93.254974,2023-01-02T12:00:00Z,37.496
113486,44.928123,-93.25389,2023-01-02T12:00:00Z,16.7115
128195,44.93578,-93.18634,2023-01-02T12:00:00Z,19.8765
142734,44.90432,-93.280624,2023-01-02T12:00:00Z,31.5745
168327,44.95194,-93.263916,2023-01-02T12:00:00Z,37.209
143226,44.91171,-93.227066,2023-01-02T12:00:00Z,37.397000000000006
142732,44.916058,-93.274155,2023-01-02T12:00:00Z,32.1325
110979,44.997475,-93.25726,2023-01-02T12:00:00Z,33.3735
143216,44.97844,-93.263535,2023-01-02T12:00:00Z,35.747
142718,44.99631,-93.29565,2023-01-02T12:00:00Z,41.2775
143224,45.008877,-93.249146,2023-01-02T12:00:00Z,37.395
142748,44.965744,-93.285416,2023-01-02T12:00:00Z,29.2525
142736,44.972713,-93.28224,2023-01-02T12:00:00Z,36.6325
143242,44.96826,-93.21156,2023-01-02T12:00:00Z,38.0685
142774,44.953075,-93.31713,2023-01-02T12:00:00Z,35.7435
54907,45.003338,-93.25568,2023-01-02T12:00:00Z,33.495000000000005
145250,44.96758,-93.3164,2023-01-02T12:00:00Z,35.4055
11134,44.92776,-93.32235,2023-01-02T12:00:00Z,16.0915
143636,45.009544,-93.29431,2023-01-02T12:00:00Z,34.539
145262,44.97941,-93.302444,2023-01-02T12:00:00Z,15.046
145204,44.967304,-93.21772,2023-01-02T12:00:00Z,36.0095
145454,44.94475,-93.23892,2023-01-02T12:00:00Z,40.3065
143916,44.960915,-93.26111,2023-01-02T12:00:00Z,38.672
5582,44.891655,-93.34291,2023-01-02T12:00:00Z,19.0835
145470,44.90896,-93.23099,2023-01-02T12:00:00Z,36.13
143666,44.998505,-93.24864,2023-01-02T12:00:00Z,40.8485
145498,44.935925,-93.2779,2023-01-02T12:00:00Z,35.089
143656,44.932285,-93.28308,2023-01-02T12:00:00Z,36.2305
21179,44.965965,-93.284615,2023-01-02T12:00:00Z,28.0715
157877,44.901764,-93.2089,2023-01-02T12:00:00Z,37.153
142748,44.965744,-93.285416,2023-01-02T18:00:00Z,29.561
